Ngày,Đài,G.8
01/05/2006,Cà Mau,37
01/05/2006,Hồ Chí Minh,47
01/05/2006,Đồng Tháp,23
02/05/2006,Bạc Liêu,87
02/05/2006,Bến Tre,11
02/05/2006,Vũng Tàu,47
03/05/2006,Cần Thơ,94
03/05/2006,Sóc Trăng,78
03/05/2006,Đồng Nai,22
04/05/2006,An Giang,13
04/05/2006,Bình Thuận,32
04/05/2006,Tây Ninh,70
05/05/2006,Bình Dương,04
05/05/2006,Trà Vinh,46
05/05/2006,Vĩnh Long,72
06/05/2006,Bình Phước,60
06/05/2006,Hậu Giang,01
06/05/2006,Hồ Chí Minh,94
06/05/2006,Long An,73
07/05/2006,Kiên Giang,78
07/05/2006,Tiền Giang,20
07/05/2006,Đà Lạt,05
08/05/2006,Cà Mau,97
08/05/2006,Hồ Chí Minh,76
08/05/2006,Đồng Tháp,69
09/05/2006,Bạc Liêu,28
09/05/2006,Bến Tre,51
09/05/2006,Vũng Tàu,17
10/05/2006,Cần Thơ,21
10/05/2006,Sóc Trăng,42
10/05/2006,Đồng Nai,88
11/05/2006,An Giang,03
11/05/2006,Bình Thuận,02
11/05/2006,Tây Ninh,53
12/05/2006,Bình Dương,10
12/05/2006,Trà Vinh,95
12/05/2006,Vĩnh Long,63
13/05/2006,Bình Phước,56
13/05/2006,Hậu Giang,60
13/05/2006,Hồ Chí Minh,48
13/05/2006,Long An,00
14/05/2006,Kiên Giang,59
14/05/2006,Tiền Giang,74
14/05/2006,Đà Lạt,34
15/05/2006,Cà Mau,00
15/05/2006,Hồ Chí Minh,00
15/05/2006,Đồng Tháp,65
16/05/2006,Bạc Liêu,52
16/05/2006,Bến Tre,13
16/05/2006,Vũng Tàu,41
17/05/2006,Cần Thơ,30
17/05/2006,Sóc Trăng,34
17/05/2006,Đồng Nai,04
18/05/2006,An Giang,85
18/05/2006,Bình Thuận,03
18/05/2006,Tây Ninh,02
19/05/2006,Bình Dương,83
20/05/2006,Bình Phước,20
20/05/2006,Hậu Giang,06
20/05/2006,Hồ Chí Minh,32
20/05/2006,Long An,41
21/05/2006,Kiên Giang,25
21/05/2006,Tiền Giang,32
21/05/2006,Đà Lạt,77
22/05/2006,Cà Mau,06
22/05/2006,Hồ Chí Minh,69
22/05/2006,Đồng Tháp,53
23/05/2006,Bạc Liêu,08
23/05/2006,Bến Tre,81
23/05/2006,Vũng Tàu,72
24/05/2006,Cần Thơ,95
24/05/2006,Sóc Trăng,83
24/05/2006,Đồng Nai,49
25/05/2006,An Giang,65
25/05/2006,Bình Thuận,06
25/05/2006,Tây Ninh,04
26/05/2006,Bình Dương,63
26/05/2006,Trà Vinh,11
26/05/2006,Vĩnh Long,38
27/05/2006,Bình Phước,02
27/05/2006,Hậu Giang,23
27/05/2006,Hồ Chí Minh,85
27/05/2006,Long An,01
28/05/2006,Kiên Giang,49
28/05/2006,Tiền Giang,28
28/05/2006,Đà Lạt,93
29/05/2006,Cà Mau,22
29/05/2006,Hồ Chí Minh,86
29/05/2006,Đồng Tháp,47
30/05/2006,Bạc Liêu,79
30/05/2006,Bến Tre,21
30/05/2006,Vũng Tàu,32
31/05/2006,Cần Thơ,48
31/05/2006,Sóc Trăng,22
31/05/2006,Đồng Nai,06
01/06/2006,An Giang,80
01/06/2006,Bình Thuận,37
01/06/2006,Tây Ninh,96
02/06/2006,Bình Dương,44
03/06/2006,Bình Phước,18
03/06/2006,Hậu Giang,39
03/06/2006,Hồ Chí Minh,59
03/06/2006,Long An,68
04/06/2006,Kiên Giang,91
04/06/2006,Tiền Giang,10
04/06/2006,Đà Lạt,77
05/06/2006,Cà Mau,72
05/06/2006,Hồ Chí Minh,48
05/06/2006,Đồng Tháp,85
06/06/2006,Bạc Liêu,79
06/06/2006,Bến Tre,21
06/06/2006,Vũng Tàu,05
07/06/2006,Cần Thơ,55
07/06/2006,Sóc Trăng,90
07/06/2006,Đồng Nai,30
08/06/2006,An Giang,12
08/06/2006,Bình Thuận,65
08/06/2006,Tây Ninh,36
09/06/2006,Bình Dương,61
09/06/2006,Trà Vinh,27
09/06/2006,Vĩnh Long,76
10/06/2006,Bình Phước,99
10/06/2006,Hậu Giang,71
10/06/2006,Hồ Chí Minh,08
10/06/2006,Long An,21
11/06/2006,Kiên Giang,68
11/06/2006,Tiền Giang,95
11/06/2006,Đà Lạt,82
13/06/2006,Bạc Liêu,41
13/06/2006,Bến Tre,26
13/06/2006,Vũng Tàu,77
14/06/2006,Cần Thơ,73
14/06/2006,Sóc Trăng,68
14/06/2006,Đồng Nai,44
15/06/2006,An Giang,16
15/06/2006,Bình Thuận,59
15/06/2006,Tây Ninh,48
